ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Minutes
"2,934",Location 441 - Location 3,441,3,1,165.479500176379050
"2,941",Location 442 - Location 3,442,3,1,163.672257726490590
"2,948",Location 443 - Location 3,443,3,1,278.936125136344800
"2,955",Location 444 - Location 3,444,3,1,308.079989267184260
"2,962",Location 445 - Location 3,445,3,1,302.232557516463660
"2,969",Location 446 - Location 3,446,3,1,295.719224184174550
"2,976",Location 447 - Location 3,447,3,1,289.462685472161180
"2,983",Location 448 - Location 3,448,3,1,283.515623917107400
"2,990",Location 449 - Location 3,449,3,1,277.648649767684450
"2,997",Location 450 - Location 3,450,3,1,271.794973591127810
"3,004",Location 451 - Location 3,451,3,1,265.831214185937770
"3,011",Location 452 - Location 3,452,3,1,264.449237263728210
"3,018",Location 453 - Location 3,453,3,1,257.279568571555670
"3,025",Location 454 - Location 3,454,3,1,250.575673006976500
"3,032",Location 455 - Location 3,455,3,1,244.199509917629260
"3,039",Location 456 - Location 3,456,3,1,223.908815640129380
"3,046",Location 457 - Location 3,457,3,1,243.990918048189170
"3,053",Location 458 - Location 3,458,3,1,238.066963449663940
"3,060",Location 459 - Location 3,459,3,1,232.068501585414310
"3,067",Location 460 - Location 3,460,3,1,225.978763006886680
"3,074",Location 461 - Location 3,461,3,1,220.129725499787410
"3,081",Location 462 - Location 3,462,3,1,140.782111864478680
"3,088",Location 463 - Location 3,463,3,1,134.606581105028680
"3,095",Location 464 - Location 3,464,3,1,128.648950795871370
"3,102",Location 465 - Location 3,465,3,1,122.665468733097440
"3,109",Location 466 - Location 3,466,3,1,116.265263589963230
"3,116",Location 467 - Location 3,467,3,1,110.160374141388200
"3,123",Location 468 - Location 3,468,3,1,167.779979258037880
"3,130",Location 469 - Location 3,469,3,1,161.073290785718970
"3,137",Location 470 - Location 3,470,3,1,154.960160530752380
"3,144",Location 471 - Location 3,471,3,1,147.547011782559110
"3,151",Location 472 - Location 3,472,3,1,141.640108479264000
"3,158",Location 473 - Location 3,473,3,1,187.326766672137860
"3,165",Location 474 - Location 3,474,3,1,181.449583687559910
"3,172",Location 475 - Location 3,475,3,1,174.871473648590440
"3,179",Location 476 - Location 3,476,3,1,167.901448638326000
"3,186",Location 477 - Location 3,477,3,1,208.172621148296940
"3,193",Location 478 - Location 3,478,3,1,202.097134994362480
